######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
################################
Initializing geometry package...
################################
Initializing MPI and solver...
################################
Initializing domain...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
Solving:
Time step 37000, Step size=0.0000024ms, Time elapsed=0.000088s;
Time step 37100, Step size=0.0000024ms, Time elapsed=0.000088s;
Time step 37200, Step size=0.0000024ms, Time elapsed=0.000088s;
Time step 37300, Step size=0.0000024ms, Time elapsed=0.000089s;
Time step 37400, Step size=0.0000024ms, Time elapsed=0.000089s;
Time step 37500, Step size=0.0000024ms, Time elapsed=0.000089s;
Time step 37600, Step size=0.0000024ms, Time elapsed=0.000089s;
Time step 37700, Step size=0.0000024ms, Time elapsed=0.000089s;
Time step 37800, Step size=0.0000024ms, Time elapsed=0.000090s;
Time step 37900, Step size=0.0000024ms, Time elapsed=0.000090s;
Time step 38000, Step size=0.0000024ms, Time elapsed=0.000090s;
Time step 38100, Step size=0.0000024ms, Time elapsed=0.000090s;
Time step 38200, Step size=0.0000024ms, Time elapsed=0.000091s;
Time step 38300, Step size=0.0000024ms, Time elapsed=0.000091s;
Time step 38400, Step size=0.0000024ms, Time elapsed=0.000091s;
Time step 38500, Step size=0.0000024ms, Time elapsed=0.000091s;
Time step 38600, Step size=0.0000024ms, Time elapsed=0.000092s;
Time step 38700, Step size=0.0000024ms, Time elapsed=0.000092s;
Time step 38800, Step size=0.0000024ms, Time elapsed=0.000092s;
Time step 38900, Step size=0.0000024ms, Time elapsed=0.000092s;
Time step 39000, Step size=0.0000024ms, Time elapsed=0.000093s;
Time step 39100, Step size=0.0000024ms, Time elapsed=0.000093s;
Time step 39200, Step size=0.0000024ms, Time elapsed=0.000093s;
